,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,dominant_topic
43460220,0.03,0.0,0.0,0.0,0.32,0.16,0.0,0.13,0.0,0.25,0.0,0.0,0.0,0.02,0.08,4
43462719,0.0,0.0,0.0,0.0,0.25,0.23,0.01,0.28,0.0,0.22,0.0,0.01,0.0,0.0,0.0,7
43467254,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.11,0.18,0.0,0.45,0.01,0.0,0.0,0.02,10
43478123,0.06,0.15,0.0,0.02,0.0,0.27,0.0,0.06,0.0,0.02,0.01,0.06,0.05,0.3,0.0,13
43494246,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.16,0.11,0.0,0.0,0.07,0.0,0.08,0.37,14
43534407,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.17,0.23,0.0,0.04,0.0,0.0,0.17,0.03,5
43567502,0.0,0.01,0.0,0.0,0.0,0.19,0.0,0.1,0.02,0.5,0.04,0.03,0.0,0.13,0.0,9
43585301,0.02,0.0,0.04,0.0,0.04,0.67,0.06,0.09,0.0,0.0,0.06,0.0,0.0,0.0,0.01,5
43608387,0.0,0.01,0.0,0.0,0.04,0.16,0.0,0.1,0.0,0.0,0.64,0.01,0.0,0.03,0.0,10
43706385,0.0,0.27,0.0,0.0,0.07,0.28,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.12,0.02,5
46001677,0.03,0.12,0.0,0.0,0.0,0.39,0.01,0.2,0.06,0.0,0.01,0.11,0.0,0.0,0.07,5
46113130,0.0,0.0,0.14,0.0,0.0,0.23,0.0,0.31,0.07,0.0,0.06,0.0,0.0,0.03,0.14,7
46128892,0.0,0.0,0.29,0.0,0.0,0.42,0.0,0.13,0.14,0.02,0.0,0.0,0.0,0.0,0.0,5
48295500,0.14,0.0,0.0,0.0,0.0,0.17,0.0,0.57,0.0,0.0,0.01,0.0,0.0,0.08,0.03,7
50272278,0.26,0.0,0.0,0.07,0.01,0.0,0.0,0.23,0.0,0.07,0.0,0.05,0.0,0.13,0.17,0
50276059,0.11,0.0,0.0,0.0,0.01,0.14,0.08,0.11,0.12,0.0,0.04,0.0,0.0,0.33,0.07,13
